OrderID,OrderDate,Region,Category,SubCategory,ProductName,Quantity,UnitPrice,Discount,CostPerUnit,CustomerSegment
1001,2024-01-05,East,Electronics,Phones,Galaxy S22,1,799,0.05,520,Consumer
1002,2024-01-08,West,Home Appliances,Kitchen,Air Fryer Pro,2,120,0,80,Consumer
1003,2024-01-10,North,Electronics,Laptops,MacBook Air M2,1,1199,0.1,850,Business
1004,2024-01-11,South,Fashion,Shoes,Nike Air Max,3,95,0,45,Consumer
1005,2024-01-13,East,Electronics,Phones,iPhone 14,1,999,0.05,700,Corporate
1006,2024-01-17,West,Fashion,Watches,Casio Edifice,2,150,0.1,80,Consumer
1007,2024-01-18,North,Home Appliances,Kitchen,Blender XPower,1,60,0,35,Consumer
1008,2024-01-21,South,Fashion,Sneakers,Adidas Ultraboost,2,180,0.05,90,Business
1009,2024-01-25,East,Electronics,Laptops,HP Pavilion,1,899,0.15,600,Consumer
1010,2024-01-27,West,Fashion,Shirts,Formal Shirt,4,35,0,12,Business
